ticket_number,total_ticket
150809.0,1.15
150810.0,5.0
150811.0,3.9000000000000004
150812.0,1.3
150813.0,1.3
150814.0,3.9000000000000004
150815.0,1.3
150816.0,1.15
150817.0,1.15
150818.0,1.3
150819.0,0.5
150820.0,1.0
150821.0,10.6
150822.0,1.0
150823.0,7.0
150824.0,5.2
150825.0,2.7
150826.0,4.6
150827.0,3.9000000000000004
150828.0,1.15
150829.0,2.6
150830.0,13.7
150831.0,1.3
150832.0,1.3
150833.0,1.3
150834.0,1.3
150835.0,6.7
150836.0,1.3
150837.0,1.3
150838.0,11.3
150839.0,1.6
150840.0,1.3
150841.0,2.2
150842.0,14.6
150843.0,1.2
150844.0,1.0
150845.0,7.0
150846.0,1.3
150847.0,1.3
150848.0,14.0
150849.0,1.15
150850.0,9.45
150851.0,1.3
150852.0,1.3
150853.0,2.6
150854.0,3.5500000000000003
150855.0,3.9000000000000004
150856.0,7.0
150857.0,3.3
150858.0,7.0
150859.0,7.2
150860.0,2.2
150861.0,2.6
150862.0,2.9000000000000004
150863.0,12.0
150864.0,4.9
150865.0,2.6
150866.0,1.0
150867.0,1.0
150868.0,2.0
150870.0,2.6
150871.0,1.15
150873.0,2.6
150874.0,3.2
150875.0,2.6
150876.0,1.3
150877.0,2.0
150878.0,2.6
150879.0,8.1
150880.0,1.3
150882.0,1.0
150883.0,1.35
150884.0,1.3
150885.0,13.3
150886.0,1.5
150887.0,5.2
150888.0,1.3
150889.0,5.0
150890.0,7.15
150891.0,5.2
150892.0,10.3
150893.0,1.35
150894.0,11.9
150895.0,1.3
150896.0,2.6
150898.0,3.9000000000000004
150899.0,1.3
150900.0,1.3
150901.0,1.3
150902.0,7.3
150903.0,2.3
150904.0,12.0
150905.0,3.8
150906.0,1.0
150907.0,2.2
150908.0,1.15
150909.0,1.3
150910.0,9.6
150911.0,1.15
150912.0,1.3
150913.0,3.2
150914.0,1.2
150915.0,4.8
150916.0,1.0
150917.0,2.6
150918.0,1.3
150919.0,2.0
150920.0,1.3
150921.0,1.2
150922.0,3.9000000000000004
150923.0,5.9
150924.0,5.0
150925.0,1.0
150926.0,3.3
150927.0,3.3
150928.0,1.0
150929.0,1.7
150930.0,2.3
150931.0,1.15
150932.0,3.3
150933.0,1.0
150934.0,2.9000000000000004
150935.0,1.7
150936.0,1.0
150937.0,1.8499999999999999
150938.0,1.3
150939.0,1.8
150940.0,9.1
150942.0,3.8
150943.0,3.85
150944.0,2.8499999999999996
150945.0,1.3
150946.0,3.2
150947.0,1.8499999999999999
150948.0,14.6
150949.0,2.6
150951.0,9.1
150952.0,2.0
150953.0,3.9000000000000004
150954.0,2.1
150955.0,0.5
150956.0,7.800000000000001
150957.0,3.9000000000000004
150958.0,2.45
150959.0,11.2
150960.0,2.2
150961.0,9.15
150962.0,22.5
150963.0,1.3
150964.0,1.3
150965.0,2.6
150966.0,3.9000000000000004
150967.0,1.3
150968.0,1.3
150969.0,8.0
150970.0,2.6
150971.0,1.0
150973.0,1.0
150975.0,5.1000000000000005
150976.0,2.0
150977.0,7.0
150978.0,1.3
150980.0,4.4
150981.0,8.6
150982.0,1.6
150983.0,13.3
150984.0,24.6
150985.0,1.15
150986.0,1.35
150987.0,9.4
150988.0,1.3
150989.0,5.0
150990.0,1.9
150991.0,3.3
150992.0,2.7
150993.0,7.0
150994.0,6.6
150995.0,6.3
150996.0,1.15
150997.0,2.6
150998.0,1.3
150999.0,2.6
151000.0,1.0
151001.0,1.3
151002.0,4.0
151003.0,3.9000000000000004
151004.0,6.2
151005.0,10.0
151006.0,2.9000000000000004
151007.0,2.6
151009.0,15.6
151010.0,6.5
151011.0,2.3
151012.0,1.3
151013.0,2.6
151014.0,6.6
151016.0,21.3
151017.0,3.4499999999999997
151019.0,17.8
151020.0,3.9000000000000004
151021.0,1.7
151022.0,1.3
151023.0,2.7
151024.0,1.3
151025.0,2.6
151026.0,1.0
151027.0,5.8999999999999995
151028.0,1.2
151029.0,1.2
151030.0,7.0
151031.0,9.3
151032.0,1.15
151033.0,2.0
151034.0,1.3
151035.0,1.3
151036.0,1.7
151037.0,5.1
151038.0,5.2
151039.0,10.3
151041.0,3.2
151042.0,1.3
151043.0,15.3
151044.0,1.3
151045.0,10.600000000000001
151046.0,1.7
151047.0,8.15
151048.0,1.3
151049.0,1.3
151050.0,1.0
151051.0,1.15
151052.0,7.800000000000001
151053.0,2.3
151054.0,7.5
151055.0,3.0
151056.0,2.0
151057.0,6.5
151058.0,2.6
151059.0,11.7
151060.0,1.3
151061.0,2.6
151062.0,2.6
151063.0,8.6
151064.0,3.9000000000000004
151065.0,1.0
151066.0,14.6
151067.0,1.3
151068.0,1.4
151069.0,1.3
151070.0,1.15
151071.0,2.6
151072.0,2.0
151073.0,2.6
151074.0,1.3
151075.0,1.3
151076.0,1.15
151077.0,1.15
151078.0,4.6
151079.0,2.6
151080.0,1.3
151081.0,2.0
151082.0,1.15
151083.0,0.7
151084.0,7.800000000000001
151085.0,2.0
