ticket_number,total_ticket
150571.0,2.4
150572.0,3.65
150573.0,6.25
150574.0,2.4
150575.0,1.2
150576.0,1.2
150577.0,1.2
150578.0,1.2
150579.0,1.2
150580.0,1.25
150581.0,1.2
150582.0,8.0
150583.0,3.45
150584.0,3.5999999999999996
150586.0,2.4
150587.0,12.0
150588.0,5.25
150589.0,1.2
150590.0,1.2
150591.0,4.8
150592.0,1.05
150594.0,1.8
150596.0,2.5
150598.0,3.1
150599.0,4.0
150600.0,0.45
150601.0,4.8
150602.0,2.4
150603.0,0.9
150604.0,2.4
150605.0,3.95
150606.0,5.95
150607.0,3.8
150608.0,1.2
150609.0,1.5999999999999999
150610.0,5.2
150611.0,2.3499999999999996
150612.0,1.2
150613.0,3.5999999999999996
150614.0,2.4
150615.0,4.5
150616.0,19.2
150617.0,0.9
150618.0,2.3
150619.0,1.05
150620.0,0.6
150621.0,5.550000000000001
150622.0,3.9000000000000004
150623.0,2.7
150624.0,0.9
150625.0,1.05
150626.0,11.1
150627.0,1.05
150628.0,11.6
150629.0,14.7
150630.0,1.2
150631.0,1.8
150632.0,1.2
150633.0,0.9
150634.0,1.2
150635.0,2.1
150636.0,12.0
150637.0,2.4
150638.0,3.5
150639.0,2.1
150640.0,0.6
150641.0,2.0
150642.0,1.2
150643.0,1.5
150644.0,1.8
150645.0,4.0
150646.0,1.2
150647.0,1.05
150648.0,1.8
150649.0,1.2
150650.0,0.9
150651.0,2.1
150652.0,1.5
150653.0,2.0
150654.0,4.9
150655.0,0.9
150656.0,1.2
150657.0,1.2
150658.0,2.4
150659.0,1.2
150660.0,0.9
150661.0,8.2
150662.0,3.5
150663.0,1.2
150664.0,1.2
150665.0,9.8
150666.0,1.25
150667.0,1.05
150668.0,2.4
150669.0,1.2
150670.0,1.2
150671.0,6.5
150672.0,0.45
150673.0,2.4
150674.0,2.7
150675.0,3.9
150676.0,1.2
150677.0,5.8
150678.0,1.4
150679.0,19.5
150680.0,2.7
150681.0,5.0
150682.0,1.2
150683.0,1.2
150684.0,2.4
150685.0,2.4
150687.0,0.9
150688.0,1.2
150689.0,6.5
150690.0,6.0
150691.0,1.4
150692.0,1.8
150693.0,3.25
150694.0,2.4
150696.0,2.4
150697.0,8.0
150698.0,3.5999999999999996
150699.0,1.05
150700.0,1.2
150701.0,6.5
150702.0,15.0
150703.0,2.4
150704.0,1.25
150705.0,2.4
150706.0,6.5
150707.0,1.15
150708.0,6.5
150709.0,4.8
150710.0,1.25
150711.0,6.5
150712.0,8.0
150713.0,14.0
150714.0,1.2
150715.0,3.7
150716.0,2.4
150717.0,1.4
150718.0,3.5999999999999996
150719.0,2.2
150720.0,1.05
150721.0,1.4
150722.0,1.25
150723.0,1.2
150725.0,3.5
150726.0,2.5999999999999996
150727.0,1.05
150728.0,1.25
150729.0,1.2
150730.0,1.2
150731.0,1.05
150732.0,4.4
150733.0,2.1
150734.0,2.1
150735.0,1.2
150736.0,1.2
150737.0,2.4
150739.0,2.4
150740.0,1.2
150741.0,1.2
150742.0,1.25
150744.0,1.2
150745.0,7.0
150746.0,3.4000000000000004
150747.0,1.2
150748.0,2.4
150749.0,0.9
150750.0,2.9
150753.0,4.6
150754.0,1.0
150755.0,1.2
150756.0,0.9
150757.0,7.75
150758.0,2.5999999999999996
150759.0,2.4
150760.0,2.3
150761.0,5.4
150762.0,2.4
150763.0,1.2
150764.0,4.8
150765.0,8.1
150766.0,1.5
150767.0,3.6
150768.0,1.2
150769.0,1.8
150770.0,8.4
150771.0,1.15
150772.0,1.2
150773.0,2.4
150774.0,1.0
150775.0,1.7999999999999998
150776.0,1.2
150778.0,15.3
150779.0,2.4
150780.0,10.4
150781.0,2.1
150782.0,13.7
150783.0,0.6
150784.0,1.8
150785.0,2.0
150786.0,1.2
150787.0,0.9
150788.0,0.9
150789.0,12.9
150790.0,1.2
150791.0,3.25
150792.0,2.4
150793.0,1.2
150794.0,1.05
150795.0,1.2
150796.0,1.9500000000000002
150797.0,0.9
150798.0,2.4
150799.0,13.100000000000001
150800.0,5.7
150801.0,8.9
150802.0,1.05
150803.0,1.05
150804.0,0.9
150805.0,1.2
150806.0,1.2
150807.0,6.300000000000001
150808.0,2.1
150809.0,1.05
150810.0,4.5
150811.0,3.5999999999999996
150812.0,1.2
150813.0,1.2
150814.0,3.5999999999999996
150815.0,1.2
150816.0,1.05
150817.0,1.05
150818.0,1.2
150819.0,0.45
150820.0,0.9
150821.0,10.4
150822.0,0.9
150823.0,6.5
150824.0,4.8
150825.0,2.4
150826.0,4.2
150827.0,3.5999999999999996
150828.0,1.05
150829.0,2.4
150830.0,13.5
150831.0,1.2
150832.0,1.2
150833.0,1.2
150834.0,1.2
150835.0,5.6
150836.0,1.2
150837.0,1.2
150838.0,10.2
150839.0,1.4
150840.0,1.2
150841.0,2.0
150842.0,14.4
150843.0,1.1
150844.0,0.9
